epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,106.347,0.7613,1.9893,1.66196,1.0495,0.00667,1,0.85146,0.67006,0.00533,0.8,0.66511,0.48756,0.92728,3.85253,2.7131,1.15962,0.0004218,0.0004218,0.0004218
32,109.609,0.90746,2.60596,1.63948,1.29116,0.00667,1,0.85146,0.67006,0.00533,0.8,0.66511,0.48756,0.92728,3.85253,2.7131,1.15962,0.000429722,0.000429722,0.000429722
33,112.962,0.92637,2.31534,1.6909,1.10909,0.00667,1,0.77612,0.57956,0.00533,0.8,0.62265,0.40216,1.06145,3.4343,2.72378,1.26025,0.000437248,0.000437248,0.000437248
34,116.242,0.75636,1.68496,1.53225,1.1453,0.00667,1,0.77612,0.57956,0.00533,0.8,0.62265,0.40216,1.06145,3.4343,2.72378,1.26025,0.000444378,0.000444378,0.000444378
35,119.654,1.07266,2.55341,1.67424,1.21828,0.00667,1,0.71775,0.45701,0.00467,0.7,0.54999,0.3176,1.31252,3.0005,2.73622,1.40341,0.000451112,0.000451112,0.000451112
36,122.897,1.21096,1.7826,1.75268,1.45554,0.00667,1,0.71775,0.45701,0.00467,0.7,0.54999,0.3176,1.31252,3.0005,2.73622,1.40341,0.00045745,0.00045745,0.00045745
37,126.193,1.06619,1.87117,1.65728,1.19055,0.00667,1,0.77359,0.48012,0.006,0.9,0.66611,0.38387,1.3871,3.3645,2.70249,1.49056,0.000463392,0.000463392,0.000463392
38,129.435,1.02653,1.72306,1.43973,1.2623,0.00667,1,0.77359,0.48012,0.006,0.9,0.66611,0.38387,1.3871,3.3645,2.70249,1.49056,0.000468938,0.000468938,0.000468938
39,132.788,0.94442,2.00038,1.5872,1.1477,0.00667,1,0.76395,0.63278,0.006,0.9,0.62066,0.41504,0.98101,3.26377,2.64748,1.18218,0.000474088,0.000474088,0.000474088
40,136.2,1.00118,1.92255,1.53993,1.17949,0.00667,1,0.76395,0.63278,0.006,0.9,0.62066,0.41504,0.98101,3.26377,2.64748,1.18218,0.000478842,0.000478842,0.000478842
41,139.556,0.81221,1.84066,1.47605,1.15973,0.00667,1,0.81365,0.65591,0.006,0.9,0.6693,0.41399,0.80002,3.59606,2.54011,1.0578,0.0004832,0.0004832,0.0004832
42,142.755,0.76389,1.92536,1.34256,0.98364,0.00667,1,0.81365,0.65591,0.006,0.9,0.6693,0.41399,0.80002,3.59606,2.54011,1.0578,0.000487162,0.000487162,0.000487162
43,146.041,1.16847,2.68878,1.53468,1.41834,0.00667,1,0.87852,0.76735,0.00467,0.7,0.45561,0.31753,0.71648,5.87845,2.46886,1.01511,0.000490728,0.000490728,0.000490728
